Date,Open,High,Low,Close,Adj Close,Volume
2022-07-04,31525.000000,31700.000000,30700.000000,31575.000000,31572.755859,2495900
2022-07-05,31575.000000,31950.000000,31400.000000,31750.000000,31747.744141,1791000
2022-07-06,31850.000000,31850.000000,31425.000000,31800.000000,31797.740234,1055100
2022-07-07,31800.000000,31950.000000,31725.000000,31775.000000,31772.742188,1454100
2022-07-08,31750.000000,31875.000000,31675.000000,31675.000000,31672.750000,2556000
2022-07-11,29750.000000,29775.000000,29475.000000,29600.000000,29600.000000,3670400
2022-07-12,29600.000000,29725.000000,29425.000000,29525.000000,29525.000000,1444000
2022-07-13,29500.000000,29525.000000,29425.000000,29450.000000,29450.000000,1050800
2022-07-14,29450.000000,29450.000000,29125.000000,29225.000000,29225.000000,1038400
2022-07-15,29250.000000,29500.000000,29150.000000,29175.000000,29175.000000,896400
2022-07-18,29200.000000,29500.000000,29150.000000,29500.000000,29500.000000,551500
2022-07-19,29500.000000,29500.000000,29300.000000,29475.000000,29475.000000,419100
2022-07-20,29475.000000,29700.000000,29400.000000,29700.000000,29700.000000,816700
2022-07-21,29700.000000,29700.000000,29300.000000,29500.000000,29500.000000,896500
2022-07-22,29500.000000,29800.000000,29475.000000,29700.000000,29700.000000,497300
2022-07-25,29700.000000,29725.000000,29400.000000,29400.000000,29400.000000,522000
2022-07-26,29300.000000,29375.000000,28850.000000,28925.000000,28925.000000,2629700
2022-07-27,28925.000000,29050.000000,28300.000000,28800.000000,28800.000000,3000500
2022-07-28,28800.000000,28850.000000,28550.000000,28550.000000,28550.000000,1097000
2022-07-29,28075.000000,28075.000000,27500.000000,27850.000000,27850.000000,4298300
2022-08-01,27850.000000,27850.000000,26600.000000,26625.000000,26625.000000,3519200
2022-08-02,26625.000000,26650.000000,25350.000000,25550.000000,25550.000000,4821800
2022-08-03,25550.000000,25600.000000,25025.000000,25100.000000,25100.000000,2014600
2022-08-04,25200.000000,25700.000000,25100.000000,25675.000000,25675.000000,1440700
2022-08-05,25675.000000,26325.000000,25550.000000,25700.000000,25700.000000,2177700
2022-08-08,25700.000000,25900.000000,25100.000000,25300.000000,25300.000000,1463100
2022-08-09,25325.000000,25525.000000,25250.000000,25500.000000,25500.000000,1057600
2022-08-10,25500.000000,25500.000000,25225.000000,25400.000000,25400.000000,697600
2022-08-11,25400.000000,25475.000000,25250.000000,25300.000000,25300.000000,813900
2022-08-12,25400.000000,25500.000000,25300.000000,25500.000000,25500.000000,522300
2022-08-15,25500.000000,25500.000000,25200.000000,25300.000000,25300.000000,479400
2022-08-16,25325.000000,25375.000000,25200.000000,25300.000000,25300.000000,604900
2022-08-18,25300.000000,25300.000000,25125.000000,25300.000000,25300.000000,837700
2022-08-19,25300.000000,25675.000000,25200.000000,25200.000000,25200.000000,920600
2022-08-22,25200.000000,25300.000000,25025.000000,25200.000000,25200.000000,869000
